1,0
2,0
3,0
4,0
5,0
6,0.5
7,1
8,2
9,2
10,1
11,0
12,0
13,0
14,1
15,12
16,23
17,-13
18,-5
19,-1
20,0
21,0
22,0
23,0.5
24,1
25,3
26,5
27,5
28,4
29,1
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0.5
42,1
43,2
44,2
45,1
46,0
47,0
48,0
49,1
50,12
51,23
52,-13
53,-5
54,-1
55,0
56,0
57,0
58,0.5
59,1
60,3
61,5
62,5
63,4
64,1
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0.5
77,1
78,2
79,2
80,1
81,0
82,0
83,0
84,1
85,12
86,23
87,-13
88,-5
89,-1
90,0
91,0
92,0
93,0.5
94,1
95,3
96,5
97,5
98,4
99,1
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0.5
112,1
113,2
114,2
115,1
116,0
117,0
118,0
119,1
120,12
121,23
122,-13
123,-5
124,-1
125,0
126,0
127,0
128,0.5
129,1
130,3
131,5
132,5
133,4
134,1
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0.5
147,1
148,2
149,2
150,1
151,0
152,0
153,0
154,1
155,12
156,23
157,-13
158,-5
159,-1
160,0
161,0
162,0
163,0.5
164,1
165,3
166,5
167,5
168,4
169,1
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0.5
182,1
183,2
184,2
185,1
186,0
187,0
188,0
189,1
190,12
191,23
192,-13
193,-5
194,-1
195,0
196,0
197,0
198,0.5
199,1
200,3
201,5
202,5
203,4
204,1
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0.5
217,1
218,2
219,2
220,1
221,0
222,0
223,0
224,1
225,12
226,23
227,-13
228,-5
229,-1
230,0
231,0
232,0
233,0.5
234,1
235,3
236,5
237,5
238,4
239,1
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0.5
252,1
